AÑO;MES;DIA;HORA UTC;INICIO INTERVALO;FIN INTERVALO;PUNTO DE MEDIDA;COORDINADO;SERIE MEDIDOR;SUBESTACION;FECHA DE ULTIMA LECTURA;PRINCIPAL/RESPALDO;ID Bitacora/F-Inicio_F-fin;Retiro_Energia_Activa (kWhD);Retiro_Energia_Reactiva (kVarhD);Inyección_Energia_Activa (kWhR);Inyección_Energia_Reactiva (kVarhR)
﻿2023;8;5;14;10;11;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;26,988035200000002;5,8490814;0,0;0,0
﻿2023;8;5;15;11;12;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;27,788044400000004;6,4780863;0,0;0,0
﻿2023;8;5;16;12;13;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;26,982806300000004;6,317537800000001;0,0;0,0
﻿2023;8;5;17;13;14;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;25,819068;5,986790399999999;0,0;0,0
﻿2023;8;5;18;14;15;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;26,9017201;6,2172323;0,0;0,0
﻿2023;8;5;19;15;16;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;26,2640901;5,8563495;0,0;0,0
﻿2023;8;5;20;16;17;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;25,4357109;5,7704703;0,0;0,0
﻿2023;8;5;21;17;18;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;26,1971512;5,3884428;0,0;0,0
﻿2023;8;5;22;18;19;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;29,348787299999998;5,2909299;0,0;0,0
﻿2023;8;5;23;19;20;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;32,0741668;4,3091557;0,0;0,0
﻿2023;8;5;0;20;21;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;34,244647;4,4558941;0,0;0,0
﻿2023;8;5;1;21;22;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;32,8195567;4,1441658;0,0;0,0
﻿2023;8;5;2;22;23;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;32,7470798;4,505762;0,0;0,0
﻿2023;8;5;3;23;24;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;29,9982657;4,225991;0,0;0,0
﻿2023;8;6;4;0;1;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;24,128099499999998;3,9429893999999996;0,0;0,0
﻿2023;8;6;5;1;2;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;24,050425500000003;4,4267255;0,0;0,0
﻿2023;8;6;6;2;3;TAPCUYA_013_TAP_EME;CGE;MR2002A66002_0100;TAP OFF CUYA;2023-08-31 23:45:00;PRINCIPAL;;21,3710208;3,793477;0,0;0,0
